DESCRIPTION,REST,DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY
POH KIT FOR WSF MAKE 1/2 INCH SOFT SEATED CHECK VALVE CONSISTING OF 03 ITEMS. AS PER THE DETAILED PART LIST MENTIONED in the attachment.,POH KIT FOR WSF INCH SOFT SEATED CHECK VALVE CONSISTING ITEMS AS PER THE DETAILED PART LIST MENTIONED attachment ,,No,,,,,,,MAKE 1 MAKE 2 OF 03 ,
Maintenance Kit for WSF Make EP Brake controller consisting of 20 items as per attachement.,Maintenance Kit WSF Make EP Brake controller items per attachement ,,No,,,,,,,consisting 20 ,
HKE Variable speed Belt 1.1/16 inches x51 inches Length to NESCO Part NO. B-5979 suitable for Coil Spring Shot Peening Machine Model: 1036 RA 108 MAKE: NESCO.,HKE Variable speed inches Length NESCO Part suitable Coil Spring Shot Peening Machine MAKE NESCO ,,No,,,,,,,Belt 1.1 Belt 16 inches 51 NO 5979 Model 1036 RA 108 ,
"7 ltrs. capacity Wet grinder with 1 HP Motor. Make: Laxmi, Santha. Specification : 1. Model type : conventional 2. capacity : 7 ltrs 3.stones : one 4. warranty : one year 5. phase : Three 6. Drum material : stainless steel 7. colour : white.",Wet HP Motor Make Laxmi Santha 1 Model type capacity 7 ltrs warranty one phase Drum material stainless colour ,,No,,,,,,,white 7 grinder 1 Specification 1 conventional 2 capacity 7 ltrs 3 one 4 year 5 Three 6 steel 7 ,
Mattresses coir with foam cushion .Size : 75 x 36 x 4 coir : 03 inches Foam : 01 inch Thickness Model : KURLON or Sleep well or DUROFLEX or PUREREST NOTE: Firm should quote for only above mentioned make only. Offer received for other brands will be summarily rejected,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
Mattresses coir with foam cushion .Size : 75 x 36 x 4 coir : 03 inches Foam : 01 inch Thickness Model : KURLON or Sleep well or DUROFLEX or PUREREST. NOTE: Firm should quote for only above mentioned make only. Offer received for other brands will be summarily rejected,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
"Multi function printer cum fax machine similar to model no : HP officejet pro 6830e-all-in-one printer of make : HP specifications : 1. Functions : print,copy,scan.fax.2. print technology : thermal inkjet . 3. Duty cycle monthly, A4 : UP TO 15000 pages.4.print colors : yes. 5. Duplex printing : Automatic standard .6. print speed black normal., A4 : up to 18 ppm 7. scan resolution,optical : up to 1200 dpi.8. fax resolution : up to 300 x300 dpi.9. processor speed : 500 MHz min .",Multi function printer cum fax machine similar model HP officejet printer make HP Functions print print technology thermal Duty cycle UP colors Duplex printing Automatic print black A4 scan fax resolution processor speed MHz min ,,No,,,,,,,pro 6830 specifications 1 copy .2 inkjet 3 monthly 4 TO 15000 15000 .4 yes 5 standard .6 . 4 A4 18 ppm 7 optical 1200 1200 .8 resolution 300 300 300 x300 .9 speed 500 ,
1/4 inch flexible hose with adaptor to ESCORTS Drg.No: 3KB 5236 or similar.,inch flexible hose adaptor ESCORTS ,Drg.No 3,No,,,,,,,similar 1 similar 4 KB 5236 ,
Aluminum ferrule of size 25mm length x 9mm outer dia. thickness-1mm,Aluminum ferrule length outer ,,No,,,,,,,size 25 x 9 dia 1 ,
"Anti pilferage device for Knuckle pivot pin,length of flat 120 mm, width of flat 20 mm, thickness of flat 3 mm to material specification IS : 1079.",Anti pilferage device Knuckle pivot pin length width flat thickness flat material specification ,,No,,,,,,,flat 120 flat 20 flat 3 IS 1079 ,
Vinyle stickers pasted on Acrylic sheet Transparent in coaches as per Drg.No.SC/Chg/Misc./01/2015 Rev.00 S.No.8,Vinyle stickers pasted Acrylic sheet Transparent coaches ,Drg.No.SC/Chg/Misc./01/2015 ,No,,,,,,Rev.00 ,per .8 ,
"SILICON SEALANT CURE BLACK COLOUR IN 300 ML/400 GM CARTRIDGE.MAKE : DOWCORNING AS-7081 OR SIMILAR IN ANABOND, SILASTIC PIDILITE..",SILICON SEALANT CURE BLACK COLOUR OR SIMILAR IN ANABOND ,,No,,,,,,,IN 300 300 400 DOWCORNING 7081 ,
Air cooler with trolley stand.make : Symphony model no. JUMBO or equivalent. specifications : 1. water tank capacity : 51 litrs . pluse or minus 5 ltrs 2. Motor speed : 1400 RPM 3. Air deflection system : 4 way. 4. Speed control : 3 speed 5. Dimensions W X DX H : 655mm x 634mm x 773mm approx 6. Operating voltage : 110-230 volts 7. Wattage : 180W approx 8. Air delivery : 4000 M3/hr approx 9. Body material type : ABC plastic 10.Warrant : 24 months 11.Mosquito net/ Dust filter should be provided.,Air cooler Symphony model JUMBO equivalent water tank litrs pluse Motor Air deflection 4 Speed 3 speed 5 Dimensions W X DX x Operating approx Air approx Body material type ABC Dust filter provided ,,No,,,,,,,specifications 1 capacity 51 minus 5 ltrs 2 speed 1400 RPM 3 system 4 way 4 control 3 speed 5 H 655 x 634 x 773 approx 6 voltage 110 voltage 230 volts 7 Wattage 180 approx 8 delivery 4000 4000 3 approx 9 plastic 10 10.Warrant 24 months 11 ,
ISI marked dry and wet bulb type psychrometer as per IS : 5725/1970: Grade A .,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
"Hand held Speed gun. Make: Bushnell, Model: Velocity 101911 or similar. Technical specifications- Accuracy: /-2KMPH, Speed ball: 16-177 KPH 27 meters approx , Auto racing car: 10-200MPH 1500 feet away , 16-322MPH 457 meters away , Size: 109 x 213 x 152mm approx , Weight : 539g, approx Battery type: c 2 Alkaline.",Hand held Speed gun Make Bushnell Model similar Speed meters approx Auto racing feet meters away x approx approx Battery type Alkaline ,,No,,,,,,,Velocity 101911 Accuracy 2 ball 16 ball 177 KPH 27 car 10 car 200 10-200MPH 1500 away 16 away 322 16-322MPH 457 Size 109 x 213 x 152 Weight 539 c 2 ,
VALVE Assembly 105 CR3 for chicago pneumatic air compressor. OEM part no. 1903254390 .,VALVE chicago pneumatic air compressor OEM ,,No,,,,,,,Assembly 105 105 3 part 1903254390 ,
SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED.,SET OF MAINTAINCE SPARES CONSISTING OF SEVEN ITEMS FOR CHICAGO PNEUMATIC AIR COMPRESSOR SPECIFICATION IS ENCLOSED ,,No,,,,,,,,
PERMANENT MAGNETIC YOKE WITH LIFTING CAPACITY 18 KGS ALONG WITH TEST CALIBRATION CERTIFICATE FROM GOVT.APPROVED SOURCES VALID FOR ONE YEAR. SPECIFICATION : Minimum lifting capacity at maximum pole spacing : 18 kgs. Max.pole distance : 100mm plus or minus 10mm. Min. pole distance: 75 mm plus or minus 10 mm.,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING OF 04 ITEMS AS PER DETAILED PART LIST attached.,OVERHAULING KIT FOR EMERGENCY APPLICATION VALVE WSF MAKE CONSISTING ITEMS AS PER DETAILED PART LIST attached ,,No,,,,,,,OF 04 ,
Mattresses coir with foam cushion .Size : 75 x 36 x 4 coir : 03 inches Foam : 01 inch Thickness Model : KURLON or Sleep well or DUROFLEX or PUREREST. NOTE: Firm should quote for only above mentioned make only. Offer received for other brands will be summarily rejected,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
Mattresses coir with foam cushion .Size : 75 x 36 x 4 coir : 03 inches Foam : 01 inch Thickness Model : KURLON or Sleep well or DUROFLEX or PUREREST. NOTE: Firm should quote for only above mentioned make only. Offer received for other brands will be summarily rejected,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
"Multimedia projector with storage media port integrated in projector. Resolution: 1024 x 768 XGA, ANSI Lumen: 3000. Make: Canon/Toshiba/Epson.",Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
"Multimedia projector with storage media port integrated in projector. Resolution: 1024 x 768 XGA, ANSI Lumen: 3000. Make: Canon/Toshiba/Epson.",Multimedia projector storage media port integrated projector XGA ANSI ,,No,,,,,,,Resolution 1024 x 768 Lumen 3000 ,
Mattresses coir with foam cushion .Size : 75 x 36 x 4 coir : 03 inches Foam : 01 inch Thickness Model : KURLON or Sleep well or DUROFLEX or PUREREST. NOTE: Firm should quote for only above mentioned make only. Offer received for other brands will be summarily rejected,Mattresses foam x coir inches inch Thickness Model KURLON Sleep well DUROFLEX PUREREST NOTE Firm quote mentioned make Offer received brands summarily rejected ,,No,,,,,,,.Size 75 x 36 x 4 coir 03 Foam 01 ,
"Zero Friction Mono Rail System As per enclosed specification, terms and condition and drawing .",Zero Friction Mono Rail System As per enclosed specification terms condition drawing ,,Yes,,,,,,,,
"Stainless Steel Inlays for Western Style lavatory to ICF Drg. No. ICF/STD-4-1-002, Col-XI, alt:x/2. Note: Participate in the tender valid approved by ICF Vendors only .",Stainless Steel Inlays Western Style lavatory Note Participate tender valid approved ICF Vendors ,Drg No ICF/STD-4-1-002 ,No,,,,,alt x/2 ,,,
"Lower Spring Beam arrangement for SG AC coaches to ICF Drg No. WLRRM-0-5-006, Col-I, Alt-e.",Lower Spring Beam arrangement SG AC coaches ,Drg No WLRRM-0-5-006 ,No,,,,,Alt-e ,,,
PERMANENT MAGNETIC YOKE WITH LIFTING CAPACITY 18 KGS ALONG WITH TEST CALIBRATION CERTIFICATE FROM GOVT.APPROVED SOURCES VALID FOR ONE YEAR. SPECIFICATION : Minimum lifting capacity at maximum pole spacing : 18 kgs. Max.pole distance : 100mm plus or minus 10 mm. Min. pole distance: 75 mm plus or minus 10 mm.,PERMANENT MAGNETIC YOKE WITH LIFTING KGS ALONG WITH TEST CALIBRATION CERTIFICATE SOURCES VALID FOR ONE YEAR SPECIFICATION Minimum lifting capacity maximum pole 18 plus Min pole distance plus minus 10 ,,No,,,,,,,CAPACITY 18 spacing 18 distance 100 minus 10 distance 75 minus 10 ,
Combined set pf tools for coaching stock maintenance. specification attached.,Combined set pf tools coaching stock maintenance specification attached ,,No,,,,,,,,
ISI marked dry and wet bulb type psychrometer as per IS : 5725/1970: Grade A .,ISI marked dry wet bulb type psychrometer per Grade A ,,No,,,,,,,IS 5725 IS 1970 ,
"Centre pivot pin with shackle lock,lock pin and washer for BLC wagon as per RDSO Drg No. CONTR-9404-S-8,Alt.1,Item Nos.2,3,4,5.",Centre pivot pin shackle lock lock pin washer BLC wagon per ,Drg No CONTR-9404-,No,,"Item Nos.2,3,4,5 ",,,Alt.1 ,,RDSO 8 ,
1/4 inch flexible hose with adaptor to ESCORTS Drg.No: 3KB 5236 or similar.,inch flexible hose adaptor ESCORTS ,Drg.No 3,No,,,,,,,similar 1 similar 4 KB 5236 ,
Waste paper basket plastic upper dia 27cms bottom dia 19 cms over all height 30 cms upper frame flat with 1 cm width minimum 2 mm thickness sheet mesh upto 3/4 portion.,Waste paper basket plastic upper bottom dia cms cms upper frame width thickness sheet mesh portion ,,No,,,,,,,dia 27 dia 19 height 30 flat 1 minimum 2 upto 3 upto 4 ,
"GM vertical non-return valve as per IS:778 Class-I screwed ends with ISI marked, Size: 20mm. Make: Zoloto/Leader/Audco. Specifications : A. SIZE 20 MM B.INTEGRAL SEAT C. INSIDE SCREW /SCREWED TYPE D. CLASS - 1 E. LIFT TYPE F. GUN METAL LEADED IN BRONZE OR BRASS",GM valve screwed ends ISI marked Specifications A INSIDE LIFT TYPE GUN METAL LEADED IN BRONZE OR BRASS ,,No,,,,,,,per 778 Size 20 SIZE 20 CLASS 1 ,
"Hand Brake Wheel for BOXNHL wagon to RDSO Drg.No: WD-05086-S-10, Item - 33, Alt-5, Ref Drg.No.WD-96031-S-01.",Hand Brake Wheel BOXNHL wagon ,Drg.No WD-05086-,No,,,,,Alt-5 ,,RDSO 10 Item 33 Ref 96031 Ref 01 ,
Pallet Rack F type as shown in DRG NO. SCR/LGD/M and P/DRG No.0159 As per enclosed specification .,Pallet Rack F type shown As per enclosed specification ,DRG NO SCR/LGD/M P/DRG No.0159 ,No,,,,,,,,
"Distributor valve complete for BLC Wagon to Drg.No.CONTR-9405 S-13, Item No.20, Alt. 11 or latest to Specn.No.02-ABR-02 with Amendment No.3 and Appendix A1 and A2.",Distributor valve complete BLC latest Appendix ,Drg.No.CONTR-9405 ,No,Specn.No.02-ABR-02 A1 ,Item No.20 ,Amendment No.3 ,,Alt 11 ,,Wagon 13 ,
"Flat chisel as per IS:5663/1970 or IS: 402/1990. Product No.1046, Size: 150mm length and cutting edge 20mm of Taparia make or equivalent in Everest or Mekaster makes.",Flat chisel length cutting Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 5663 per 1970 IS 402 IS 1990 Product .1046 Size 150 edge 20 ,
Supply of steel almarah of 18 gauge with powder coated paint of size 6 1/2 feet height x 3 feet length x 18 1/2 inches width with provision of five shelves.,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
"Hammer with handle ball pein type as per IS:841/1983. Product No.WH-800B/C, of 2 pounds approx 800gms of Taparia make or equivalent in Everest or Mekaster makes.",Hammer handle ball pein type pounds Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 841 per 1983 Product 800 No.WH-800B/C 2 approx 800 ,
"Gun Metal Vertical Non-return valve screwed female ends as per IS:778 Class-I with ISI marked, Size:25mm. Make: Zoloto/Leader/Audco/HB. Specifications: a. size : 25 mm b. integral seat. inside screw /screwed type d.class-1 e. lift type f. Gun metal leaded in bronze or brass.",Gun Metal valve screwed female ends ISI integral seat inside lift type Gun metal leaded bronze brass ,,No,,,,,,,per 778 marked 25 size 25 type 1 ,
"BOGIE BOLSTER ARRANGEMENT FOR DEMU 700hp COACHES TO ICF DRG NO.DMU/DPC-0-4-001,COL-I, ALT-m/8. Note:- offers of RCF/ICF Approved sources only will be considered.",BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
"BOGIE BOLSTER ARRANGEMENT FOR DEMU 700hp COACHES TO ICF DRG NO.DMU/DPC-0-4-001,COL-I,ALT-m/8. Note:- Offers of ICF/RCF Approved sources only will be considered.",BOGIE BOLSTER ARRANGEMENT FOR COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC-0-4-001 ,No,,,,,ALT-m/8 ,,DEMU 700 ,
"BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR DEMU 1400hp-NON AERO DYNAMIC COACHES TO ICF DRG NO.DMU/DPC5-0-3-501, COL-I,ALT-w/5. Note:- Offers of RCF/ICF Approved sources only will be considered.",BOGIE FRAME ARRANGEMENT FOR AIR SPRING SUSPENSION BOGIE FOR AERO DYNAMIC COACHES TO Note Approved sources considered ,DRG NO.DMU/DPC5-0-3-501 ,No,,,,,ALT-w/5 ,,DEMU 1400 ,
"BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR DEMU 1400hp-NON AERO DYNAMIC COACHES TO ICF DRG NO. DMU/DPC5-0-4--094, COL-I,ALT-d. Note:- Offers of ICF/RCF Approved sources only will be considered.",BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR AERO DYNAMIC COACHES TO BOGIE BOLSTER ARRANGEMENT FOR AIR SPRING BOGIE WITH STRAIGHT WEBS FOR DEMU 1400hp-NON AERO DYNAMIC COACHES TO ICF COL-I Note Approved sources considered ,DRG NO DMU/DPC5-0-4 -- 094 ,No,,,,,,,DEMU 1400 DEMU 1400 ,
Supply of steel almarah of 18 gauge with powder coated paint of size 6 1/2 feet height x 3 feet length x 18 1/2 inches width with provision of five shelves.,Supply steel gauge powder coated paint feet height feet length x 18 1/2 inches width provision five shelves ,,No,,,,,,,almarah 18 size 6 6 1 6 2 x 3 x 18 18 1 18 2 ,
"Supply, installation and commissioning of Kitchen hood Kitchen chimney along with all required material for installation. Model: AKH 900 SL SKU Code 41615 of Prestige or similar. Make: Prestige, Gilma, Sunflame, Hindware.",Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
"Supply, installation and commissioning of Kitchen hood Kitchen chimney along with all required material for installation. Model: AKH 900 SL SKU Code 41615 of Prestige or similar. Make: Prestige, Gilma, Sunflame, Hindware.",Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
Front Half Open Cage Pallet as shown in DRG no. SCR/LGD/M and P/DRG No.0155 As per enclosed specification .,Front Half Open Cage Pallet shown As per enclosed specification ,DRG SCR/LGD/M P/DRG No.0155 ,No,,,,,,,,
"Supply, installation and commissioning of Kitchen hood Kitchen chimney along with all required material for installation. Model: AKH 900 SL SKU Code 41615 of Prestige or similar. Make: Prestige, Gilma, Sunflame, Hindware.",Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
Short Body Bib cock as per Jaquar Model No. CON-54 or Hindware. Foam type .,Short Body Bib cock per Jaquar Model Hindware Foam type ,,No,,,,,,,No 54 ,
Integrated Test Bench for Air Spring Suspension Control Equipment Leveling valve and Duplex check valve As Per enclosed specification ,Integrated Test Bench Air Spring Suspension Control Equipment Leveling valve Duplex check valve As Per enclosed specification ,,No,,,,,,,,
POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE OF WSF MAKE EP BRAKE VALVE CONSISTING OF 12 ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF.,POH KIT FOR APPLICATION AND HOLDING MAGNET VALVE WSF MAKE EP BRAKE VALVE CONSISTING OF ITEMS AS PER DETAILED PART LIST MENTIONED OVERLEAF ,,No,,,,,,,OF 12 ,
"Combination insulated pliers with thick C.A Sleeve as per IS:3650/1981. Design No.178415, Product No.1621-8, Size: 8 inches/210mm of Taparia make or equivalent in Everest or Mekaster makes.",Combination insulated pliers Sleeve Taparia make equivalent Everest Mekaster makes ,,No,,,,,,,per 3650 per 1981 Design .178415 Product .1621 Product 8 Size 8 8 210 ,
"Snubber Spring BLC to IS: 3195 GR.52 CR.4 MO2V Specn.WD-01-HLS-94 TO Drg.No.CNTR 9404-S-7, Item No.3, Alt.7 or latest.",Snubber Spring BLC TO ,Drg.No.CNTR 9404-,No,Specn.WD-01-HLS-94 S-7 ,,,,,,IS 3195 3195 .52 GR.52 .4 CR.4 2 ,
Rail Jumper with clamp at both ends with 13 metres copper cable as per Drg.No.RE/DNR/EL/TP/07.,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
Rail Jumper with clamp at both ends with 13 metres copper cable as per Drg.No.RE/DNR/EL/TP/07.,Rail Jumper clamp metres copper cable per ,Drg.No.RE/DNR/EL/TP/07 ,No,,,,,,,ends 13 ,
"Supply, installation and commissioning of Kitchen hood Kitchen chimney along with all required material for installation. Model: AKH 900 SL SKU Code 41615 of Prestige or similar. Make: Prestige, Gilma, Sunflame, Hindware.",Supply installation commissioning Kitchen hood Kitchen chimney along required material installation Model SL SKU Prestige similar Make Prestige Gilma Sunflame Hindware ,,No,,,,,,,AKH 900 Code 41615 ,
"Set of components required for assembly of the porcelain commode. Set consisting of 4 items to ICF Drg.No. ICF/DEV/SK-6-3-160 items 4,5,6,7, 1 rubber bush to drg.no.SK-6-3-225,Item-1, 2 special pipe 20mm to drg No..ICF/SK-6-3-226,Item1, 3 Hexagonal pipe nut to drg.no. ICF/SK-6-3-226,Item - 2 4 steel ferrule dia 55x3.2,to Drg.No. 6-3-160,Item -7.",Set components required assembly porcelain commode Set ICF items rubber special Hexagonal pipe 2 4 steel ferrule Item ,Drg.No ICF/DEV/SK-6-3-160 ,No,,,,SK-6-3-225 ,,,"consisting 4 items 4 items 5 items 6 items 7 4,5,6,7 1 bush 1 drg.no.Item-1 2 pipe 20 drg 6 drg 3 drg 226 No..ICF/SK-6-3-226 1 Item1 3 drg.no 6 drg.no 3 drg.no 226 Item 2 2 4 dia 55 dia 3.2 Drg.No 6 Drg.No 3 Drg.No 160 Item 7 ",
