DRG._NUMBER,ALT_NUMBER,SPEC_NUMBER,ITEM_NUMBER,AMENDMENT_NO,SK_NUMBER,QUANTITY,REV_NUMBER,REST_DATA
,,,,,,,,"Canon digital A3 photo copier model CANON IR 2002 speed :20CPM COPY/PRINT Memory :128MB RAM Paper Capacity 1 x 250 sheets,100 sheets pass trey Zooming 25 percent 400 percent Display Five Line Display "
DRG.NO SAB A4 7270627 ,,,,,,,,SHIM OF THICKNESS 03 MM WITH IS 8500 STANDARD SHEET AS PER SUITABLE FOR CBC 
,,,,,,,,Wire brided rubber hose 1/2 x 760 long end fittings 3/4 BSP female swivel 1 nut sides suitable adopters specification no.SAE 100R5C Make Poly hose super seal parker 
,,,,,SKI R7 ,,,Cleaning Agent berth rexene Brand TAjohnson Diversy collin OC neutral cleaner ECO lab specification Density @ 25 degree C 0.95 1.07 g/cm3 PH value 1 percent sol 7-8 
DRG.NO..SC/DIV/C W/IND/01 02 ,,,,,,,,INDICATION FRAME AS PER MADE OF 0.8MM THICK DULY POWDER COATED ON MS SHEET INSIDE OUTSIDE AS PER DRAWING 
,,,,,,,,TISSUE PAPER HOLDER FOR WESTERN TOILET MAKE WATERTEC/PRAYAG ONLY MATERIAL PVC ONLY 
,,,,,,,,Polythene Garbage cover size 24inch x 36inch 40 microns thickness Specification per CPCB AND APPCB Guide lines 
,,,,,,,,Later 7 1/2 Disposable hand gloves IS 13422 thickness 0.10mm MAKE Nulife similar 
,,,,,,,,Top Liner Part No 298688 suitable Coil Spring Shot Blasting Machine Model 1036RA108 Make NESCO 
Drg No SCR/LGD/J T Drg No A3-3487 ,Alt-Nil ,,,,,,,Window Guide moulding Latch LGD 
,,,,,,,,Top Liner Part No 298688 suitable Coil Spring Shot Blasting Machine Model 1036RA108 Make NESCO 
,,,,,,,,Polythene garbage cover size 60CM X 81CM thickness 40 micron.and specification per CPCB AP PCB bundle roll consist f 15 bags 
,,,,,,Qty 01 ,,Set Studs required Electropneumatic Brake system consisting 5 items confirming IS 1862-1975 Re affirmed 2006 per deatiles herein 1 Galvanized stud M8 x 100 x 1.5mm pitch nut washer Set 2 Galvanized Stud M6 x 65 x 1.0mm pitch nut washer Qty 01 Set . 3 Galvanized Stud 5/16 x 1 1/4th x 18 TPI nut washer Qty 01 Set . 4 Galvanized stud 3/8 x 1/2 x 16 TPI pitch nut washer Qty 01 Set . 5 Galvanized Hex Head H.T Bolt nut washer Half Thread 8.8 . Qty 01 
Drg.No 04702555 ,,,,,SK-10-2-420 ,,Rev No 2 ,1/2 Soft Seated check valve Straight type Escorts Part No 3KB 591 FTIL WSF Drg.No A-83288/1 KBI Drg.No C152968 per ICF Spec No ICF/ 
,,,,,,,,Repair Kit drain valve FTIL Part No 130-002A consisting 9 items per annexure attached 
Drg.No ICF/MRVC/M-6-2-002 ,Alt- g ,,,,,,,Luggage Rack Complete ICF Col-II 
Drg WCB-6-4-122 ,alt-x ,,,,,,,S.S Sink Drain Board 1.2 x 457 x 1055 Pantry cars ICF Item-15 
Drg.No CWM/M/JU/SK 1174,,,,,,,,S Trap assembly per a 
Drg No J T/A4/,,,,,SK No 3670 ,,,Rear Cover Assembly Table Wheel Shop LGD-To material AISI304 Duly buffed Polished 
,,,,,SK No 3669 ,,,Wheel Press Inspection Stand Wheel Shop To rg No J T/A4/LGD-To Material AISI304 Dult buffed Polished 
,,,,,SKI R7 ,,,Cleaning Agent berth rexene Brand TAjohnson Diversy collin OC neutral cleaner ECO lab specification Density @ 25 degree C 0.95 1.07 g/cm3 PH value 1 percent sol 7-8 
,,,,,,,,Polythene Garbage cover size 24inch x 36inch 40 microns thickness Specification per CPCB AND APPCB Guide lines 
Drg.No C W. LGD.SK.NO 0922 ,Alt Nil ,,,,,,,Packing Ring 13MM Thick 20T Axle Bogies confirming RDSO Spec No C-9703 LGD Item-1 
,,,,,,,,Common pipe bracket assembly complete along CR Escorts part No 206 KBI Part No KD-206 FTIL Part No 620002000 SIL Part No 08210622 suitable mounting DV INSPECTION BY RDSO 
Drg.No LW 61230 ,Alt.d ,,,,,,,Safety Rail RCF 
Drg No CG-K4026 ,Alt.1 ,Specn 2062 ,,,,,Rev-02 ,Auxilary Air Reservoir 150 Liters Capacity main line ICF Coaches RDSO material IS 
,Alt 02 ,,,,SK-10-2-420 ,,Rev No.2 ,1/2 inch Isolating Cock vent special handles M/s Escorts part No 3KB 1089 M/s WSF Part No IB 70372/2 similar per ICF Specification No ICF/ 
,Alt-q/2 ,,,,SK 5-5-018 ,,,"Lavatory Window arrangement Non-Lifting type FRP Banjo shutter ICF/Col-IV except items 3,4 13 colour Glass shutter frame shall Satin blue shade No 177 IS 5-2007 Colour Window guide sill cross member shall smoke grey Shade No 692 IS 5-2007 "
,,,,,,,,"Lan extender SHDSL type LAN WAN port Make ZYXEL/CISCO/D-LINK/MROTEK Specifications 1 SHDSL multirate modem transport 4 No.s 10/100 Ethernet interface RJ-45 2 High speed HDSL transport single twisted copper pair telephone cable 3 HDSL WAN Multirate 144 Kbps 11.4 Mbps 4 Bridging routing capabilities 5 10,000 address LAN tables 6 Automatic LAN table learning aging 7 Supports 5 KMS "
,,,,,,,,BOTTLE JACKS 35 TON SPECIFICATIONS 1 LIFTING CAPACITY 35 TON 2 LIFT 125 130 MM 3 CLOSED HEIGHT 250-260 MM 4 BASE SIZE 210-220 MM X 200 210 MM 5 RAM DIA 75 MM 80 MM SHOULD BE MAD OF EN 9 HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP TO 50 MICRONS 6 BODY DIA 140-150 SHOULD BE MADE OF EN- 19 HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE H8 7.WORKING PRESSURE SHOULD BE 700 BAR 8 OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER IS 4552 2 1993 JACKS SHALL BE FROM BEMCO/MARWAHA/LUKAS/MFD/CRIMPWEL/VANKOS MAKES ONLY 
,,,,,,,,HYDRAULIC JACKS 15 TON SPECIFICATIONS 1 LIFTING CAPACITY 15 T DOUBLE ACTING 2 LIFT 125 130 MM 3 CLOSED HEIGHT 250-260 MM 4 BASE SIZE 160-180 MM X 160 180 MM 5 RAM DIA 55 MM 65 MM SHOULD BE MAD OF EN 9 HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP TO 50 MICRONS 6 BODY DIA 100-120 SHOULD BE MADE OF EN- 19 HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE H8 7.WORKING PRESSURE SHOULD BE 600-700 BAR 8 OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER IS 4552 2 1993 JACKS SHALL BE FROM BEMCO/MARWAHA/LUKAS/MFD/CRIMPWEL/VANKOS MAKES ONLY 
DRG.No.3,,,,,,,,SINGLE WAGON TEST RIG AS PER KB 1944 AND OTHER SPECIFICATION ATTACHED 
,,,,,,,,Battery charger specifications 1 The charger shall suitable charging batteries provided fork lift truck/ lister truck 2.operating voltage put 12v DC Charging capacity 0 50 A DC 2 batteries 12 volts input voltage 230-250v single phase 50 Hzs 5 10 A heavy duty 3.ammeter 0-50A volt meter 0-250v 4. ammeter volt meters shall AC/ DC ISI marked 5. make AEC/APEX/VOLTAS/GODREJ/TECHNO-MAX 
DRG No.3,,,,,,,,SINGLE WAGON TEST RIG [ AS PER KB 1944 AND OTHER SPECIFICATION ATTACHED 
,,,"item no.1,2,3 4 ",,SK.No.1210.,,,Hydrants securing arrangement watering coaches per OF DRAWING NO SCR/C W/Drawing enclosed 
,,,,,,,,Supply installation 24 Port fast ethernet manageable layer 2 switch 02 No.s Gigabit ethernet combo ports 10/100/1000 Mbps two suitable SFP slots modules support POE Make CISCO/JUNIPER/D-Link/Net Gear/ Linksys/Brocade 
,,,,,,,,Split Pin supporting device main support pin dia 5 x 40 IS 549 
,,,,,,,,Brush Plate BOSCH Part No 2609120356 Model No GBM 10 RE 3601 D735KO Make BOSCH Equivalent Item procured authorised dealers tools equipment Note One sample got approved bulk supply 
,,,,,,,,Hose clips Hose Pipe oxygen D.A Esab make Make Esab ador fontech equivalent 
,,,,,,,,Kit Relay consisting 12 items Distributor Valves KE Type per part list enclosed Annexure-I Note -RDSO Approved sources Distributor valve need quaote Material Inspection RDSO 
Drg No BHEL Drg.No 15801130009,,,,,,,,Cylinder Cap Assembly 22PC Power Contractor Use BHEL-DEMU Power Car P1 Fig.Ref.CO22.CS.No.CCS 1263 OEM/Authorized dealers quote 
Drg.No SCR/C W/Sketch No 0643 ,,,,,,,,Turn Over Catch single seat back rest cum berth LGD Component powder coated smoke grey shade 
Drg.No ICF/SK-3-6-4-035 ,Alt-Nil ,,,,,,,S.S. Litter Bin Below Outside wash basin Col-I 
Drg.No ICF/SK-3-6-4-035 ,Alt-Nil ,,,,,,,S.S. Litter Bin Below Outside wash basin Col-I 
,,,,,,,,Industrial Boiler Suit Buttons Full sleeves Colour NAVY BLUE 50 percent L 50 percent XL -Size Make MIDAS ROTECTOR UDYOGI NFC BRIGHT APPAREL Note 1 Offers mentioning make makes passed 2 Offers OEM authorised dealers enclosing valid dealership certificate considered 
,,,item No.2 ,,SK-3-5-263 ,,,Nylon washer drawing No ICF/Drawing attached 
Drg.NO ICF/SK-3-6-3-137 ,alt-a ,,,,,,,S.S.Dust bin Bio-Toilet ICF Col-I 
Drg.No ICF/SK-5-4-274 ,Alt.k Item 2 ,,,,,,,Aluminium inner frame double sealed window AC coaches per 
Drg.No ICF/SK-5-4-274 ,Alt.k Item 2 ,,,,,,,Aluminium inner frame double sealed window AC coaches per 
Drg No ICF/STD-6-3-018 ,,,,,,,,Toilet door rubber stopper per 
Drg.No ICF/STD-3-5-066 ,Alt-a Note -To procured ICF Approved vendors ,,,,,,,Stainless Steel Air Reservoir 150 Ltrs For EMU-MMTS Coaches ICF Col-I 
DrgNo CC 53105 ,Alt.C ,,,,,,,Holding Frame Sealed Door Window Arrangement RCF 
,,,,,,,,BRASS BALL VALVE OF SIZE 25-mm SCREWED FEMALE ENDS LEVER OPERATED MAKE ZOLOTO/ HB AND LEADER ONLY SPECIFICATION FOR BRASS BALL VALVE 25 1 NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr FLB 2 NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS 1367 3 NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 4 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS 2062 5 NAME THE PART BODY GLAND MATERIAL.FORGED BRASS.SPECIFICATION IS 6912 Gr FLB 6 NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION BS EN:12086-1 7 NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 Gr.FLB 8 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION BSEN 12086-1 9.NAME OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS 6912Gr.FLB WARRANTY MINIMUM 6 MONTHS 
,,,,,,,,WET DRY MANUAL MOP 50cm AND ADJUSTABLE TELESCOPIC POLE HANDLE ALUMINIUM POWDER COATED WITH BLENDED SYNTHETIC AND COTTON YARN INSET MAKE ROOTS EZEE CLEAN PART NO.559260002 SIMILAR AS PER SPECIFICATION ATTACHED 
,,,,,,,,Connection Block Rod Side complete With Quick Coupler Ref No V84072/4616 
Drg.No.T-0-7-603 ,Alt-A/15 ,,,,,,,Anchor Link ICF.Col-1 
,,,,,SKID SPECIFICATION ATTACHED ,,,SUPPLY INSTALLATION COMMISSIONING OF RO PLANT OF 50 LPH SIMILAR TO ROPURE BRAND 7 STAGE PURIFICATION RO WITH UV SYSTEMS IN SS 
DRG NO LOAD SENSING DEVICE III 3,,,ITEM NO 3 2 ,,,,,OVERHAULING KIT OF 5 ITEMS NOS ITEM NO 05-01 NO ITEM NO 7-01 NO ITEM NO 9-3 NO ITEM NO 12-01 NO FOR ESCORTS EB 6280 FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,SK- 001 ,,,Pad lock one time lock made hard plastic moulded rectangular CUBOID internal permanent locking arrangement steel rod per drawing No SSE/C W/SC/ 
DRG NO LOAD SENSING DEVICE III 3,,,ITEM NO 3 2 ,,,,,OVERHAULING KIT OF 5 ITEMS NOS ITEM NO 05-01 NO ITEM NO 7-01 NO ITEM NO 9-3 NO ITEM NO 12-01 NO FOR ESCORTS EB 6280 FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,,,,200mm cast Iron strainer T Type flanged ends Kranthi make similar As per IS 2373/1981 1 Vane wheel type water meter required 2 Provision locking required 3 Cyclometer type combination pointer counter type 4 Frost protection Required 5 Strainer required 6 Wiper required 7 Dry dial type water meter required 
Drg.No 14391441002,,,,,,,,Axle Shield TM-4601 AZ/BX per BHEL V00 suitable DEMU Power Car/Tower car Makes -BHEL/Inder Engineering/Bhopal Electrical/Balaji Enteprises OEM/Authorized dealers quote 
Drg.No 2580130024,,,,,,,,Shunt Clamp assembly 22PC per BHEL V01 suitable power contactor BHEL-DEMU Power Car/Tower Car Makes BHEL/Inder Engineering/Bhopal Electrical/Balaji enterprises OEM/Authorized dealers quote 
Drg.no 34391741001,,,,,,,,Inspection cover TM 4601 AZ/BX per BHEL P1 use DEMU Power Car/Tower Car Makes -BHEL/Inder Engineering/Bhopal Electrica/Balaji Enterperies OEM/Authorized dealers quote 
Drg No CDO/HYB/PANTRY/001/2015 ,,,,,,,,Fabricated GI box size L 610mm x W 610 X H 191 thickness 0.6 Material GI per 
,,,,,,,,"3.7volts,2200mA Rechargeable batteries LED LAMPS Specifications National standard 18650 Make Unicad/Lione/GP Ultra fire "
Drg SKEL-3943 ,Alternator per RDSO ,,Item No 1 ,,,,Rev.1 2012 ,GI Split cotton Pin size 75 x 12mm per IS Specification 1089/73 SL 42 suitable use Suspension Hanger Pin Suspending 25 KW Brushless 
,alternator use Godraj FLT Model No GX-300,,,,,,,LUCAS-TVS Carbon Brushes D make LUCAS-TVS equivalent 
,,,,,,,,Pressed steel swivel castor solid cushioned tyred wheel wheel size:200x52 Make Rexello/Pioneer/vijay/muvtons Specifications 1 Wheel size:200mm dia x 50mm width 2 Load 205 kgs 3 Ovrall height:232 4.Top plate size 130x105 5 Bolt Hole center 105x80 6.Bolt hole dia 11x13.5 7 Weight 4 kgs 5 kgs Approx 8 Double Ball race Swivel Protected dust guard fitted solid cushion tyred wheels roller bearings 
,,,,,,,,DEVELOPER FOR PHOTO COPY MACHINE MAKE TOSHIBA MODEL E-STUDIO-353/452 
,,,,,,Qty per set 1 ,,Pressure Gauge Set Pneumatic Pressure Gagues Detailed Description Pneumatic Pressure Guge Range 0 16kgs/cm2 Dial Dia 100mm End Fitting 3/8 BSP Connecton Bottom Material Stainless Steel Calibration Certificate enclosed along supplied material Make Make WIKA/H.GURU/WARREE Note -Calibration Certificate enclosed pressure guage Qty/Set 6 Nos 2 Pneumatic Pressure Gauge Range 0 16 kgs/cm2 Dial Dia 150mm End Fitting 1/2 BSP Connection Bottom Material Stainless Steel Calibration Certificate enclosed alongwith supplied material Make WIKA/H GURU/WAAREE Note Calibration Certificate enclosed pressure gauge Qty/Set 6 Nos Make WIKA/H.GURU/WARREE 
,,,,,,,,CARTRIDGE SP-200 BLACK HIGH YIELD RATING NOT LESS THAN 2600 PAGES SUITABLE TO WORK ON RICOH SP 200 LASER PRINTER 
,,,,,,Qty/Kit 04 ,,Set Brake Drum Cast Iron EOT Cranes Detailed Descrption 1 Brake Drum 250mm dia suitable 15 Ton EOT Cranes Nos 2 Brake Drum 200mm dia suitable 7.5 Ton EOT Cranes Qty/Kit 04 Nos Make REVA/SAICO/GARLICK/SHRUSHTI/TSS Note OEMS authorized dealer quote along authorization certificate Firms mention details make/model item shall enclose relevant technical leaflet 
Drg MI005986 ,alt-b Note -Offers sources approved RCF considered ,,,,,,,Opening Mechanism Ball vale Bio toilet retention tank To RCF 
,,specn.No.IRS.S.96/2000 ,,,,,,DC-DC Converter 24V input 18-36V put 1 Amp 
DRG NO T. 0 1- 644 ,,,,,,,,STEEL PACKING PLATE 4 X 110 X 196 ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
DRG NO T. 0 1- 644 ,,,,,,,,STEEL PACKING PLATE 4 X 110 X 196 ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
,,,,,,,,Later 7 1/2 Disposable hand gloves IS 13422 thickness 0.10mm MAKE Nulife similar 
,,,,,,,,Hand Held Wireless micro phone System Make SHURE/EV/SENNHEISER/BOSCH Specification Attached 
,,,,,SK 722 ,,,Compression Spring Escort Part No Make ESCORTS Only 
,,,,,SK 711 ,,,Wear Plate Escorts Part No Make Escorts 
Drg No C W-99 ,,,,,,,,Back Rest cum berth holding bracket CN Coaches per PD TPYS.SCR 
,,,,,,,,Storage unit stainless steel.size 5 feet x 4 feet 3 shelves per drawing No SCDN/MECH/2015/RR/RACK 1 DRAWING ATTACHED 
Drg.No ICF/SK-5-4-274 ,Altg.k Item 2 ,,,,,,,Aluminium inner frame double sealed window AC coaches per 
,Alt.b Note Offers RCF Approved sources considered ,,,,,,,Chlorine Jacket Chloring filter Bio-Toilet RCF Drawing No MI005328 Item-2 
,,,,,,,,Black poly bags size 30 inches X 30 inches 40 microns thickness use DUST BINS 
Drg.No ICF/SK-5-4-263 ,,,,,,,,Rubber Profile Emergency Openable window standard length 20 Mtrs 
DrgNo CC 53105 ,Alt.C ,,,,,,,Holding Frame Sealed Door Window Arrangement RCF 
Drg.No 3,Alt-06 ,,,,SK-10-2-421 ,,Rev No.03 ,1 Couping Cock-LH Escorts KB 165 WSF Drg No IB 70378/2 1A 71395/3 equivalent confirming ICF Spec ICF/ 
Drg.No 3,Alt-06 ,,,,SK-10-2-421 ,,Rev No.03 ,1 Couping Cock-LH Escorts KB 165 WSF Drg No IB 70378/2 1A 71395/3 equivalent confirming ICF Spec ICF/Note -Offers ICF Approved sources considered 
Drg.No 3,Alt-06 ,,,,SK-10-2-421 ,,Rev No 03 ,1 Coupling Cock-RH Escorts KB 165 WSF Drg.No IB 70378/1 IA 71395/4 equivalent confirming ICF Spec ICF/Note Offers ICF approved sources considered 
,,,,,,,,Battery charger specifications 1 The charger shall suitable charging batteries provided fork lift truck/ lister truck 2.operating voltage put 12v DC Carging capacity 0 50 A DC 2 batteries 12 volts input voltage 230-250v single phase 50 Hzs 5 10 A heavy duty 3.ammeter 0-50A volt meter 0-250v 4. ammeter volt meters shall AC/ DC ISI marked 5. make AEC/APEX/VOLTAS/GODREJ 
DRG No.3,,,,,,,,SINGLE WAGON TEST RIG [ AS PER KB 1944 AND OTHER SPECIFICATION ATTACHED 
,,,,,,,,HYDRAULIC JACKS 15 TON SPECIFICATIONS 1 LIFTING CAPACITY 15 T DOUBLE ACTING 2 LIFT 125 130 MM 3 CLOSED HEIGHT 250-260 MM 4 BASE SIZE 160-180 MM X 160 180 MM 5 RAM DIA 55 MM 65 MM SHOULD BE MAD OF EN 9 HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP TO M50 MIRCONS 6 BODY DIA 100-120 SHOULD BE MADE OF EN- 19 HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE H8 7.WORKING PRESSURE SHOULD BE 600-700 BAR 8 OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER IS 4552 2 1993 
,,,,,,,,WELDING MACHINES SPECIFICATION ATTACHED 
,,,,,,,,BOTTLE JACKS 35 TON SPECIFICATIONS 1 LIFTING CAPACITY 35 TON 2 LIFT 125 130 MM 3 CLOSED HEIGHT 250-260 MM 4 BASE SIZE 210-220 MM X 200 210 MM 5 RAM DIA 75 MM 80 MM SHOULD BE MAD OF EN 9 HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP TO M50 MIRCONS 6 BODY DIA 140-150 SHOULD BE MADE OF EN- 19 HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE H8 7.WORKING PRESSURE SHOULD BE 700 BAR 8 OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER IS 4552 2 1993 
DRG.No.3,,,,,,,,SINGLE WAGON TEST RIG AS PER KB 1944 AND OTHER SPECIFICATION ATTACHED 
,,,Item No 2 ,,Sketch CG-K6070 ,,,15 Gravity type spring loaded water tap drawing No.RDSO/
,,,,,,,,QUICK RELEASE MECHANISM SUITABLE FOR FAIVELY MAKE PARKING BRAKE ARRANGEMENT TO FTRTIL PART NO.546102000 
,,,,,,,,HP PRINT HEAD C4901A CYAN MAGENTA 
,,,,,,,,TURNING CASSETTE RH 30 MM MAKE WIDIA 6939318620 OR SANDVIK PART NO 175-32-3223-30 
,,,,,sket Part No.731,Qty 02,,Rubber Kit WSF make modified EP magnet valve unit consisting 06 items detailed herein 1 Grommet Part No.521A70972 Nos 2 K Ring Part No 1B/852 Qty 04Nos 3 O Ring Valve body adopter bracket Part No 56J72050/13 Qty 06 Nos 4 GaA71387 Qty:01No 5 Gasket Part No.861A70975 Qty:01Nos 6 Ball Valve seat Part No 88A89551/1 Qty:01Nos 
,,,,,,,,HARD WOOD PACKING SIZE 2 FEET X 1 FEET X 1 INCHES RELEASED BOTH THE END BONDED WITH 25 MM WIDTH X 1.5 MM THICKNESS M.S STRIP LEAVING 3 INCHES BOTH THE ENDS IS NO 707/2011 MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,SK.K 3001 ,,,Hammer box Hammer per Drawing No 1.RCF-CC 64334 2 RDSO C NO.FOR BREAKING WINDOW GLASS IN CASE OF EMERGENCY 
,,,,,,,,Storage unit stainless steel.size 5 inches x 4 inches feet 3 shelves per drawing No SCDN/MECH/2015/RR/RACK 1 DRAWING ATTACHED 
,,,,,,,,Cardon Shaft Part NO BB/006/01/RTPL Suitable surface Traversor 70T Cap Model B-066 Make M/s Unique Handlers/BB 
Drg.No.ICF/SK-4-2-097 ,,,,,,,,Lavatory Air Exhauster ICF Col-I 
,,,,,,,,SCRUBBING PADS OF SIZE 7.5 CM X 7.5 CM OF 8 MM THICK MAKE SCOTCH BRITE HAMARA BRIGHT OF SABEENA 
,,,,,,,,SAB A Dimension gauge size 70.0 71.0 72.0 material tool steel IS 3748/90 Hardness -50/55 HRC 
,,,,,SKI SPIRAL OF DIVERSEY SIGLA NEUTRAL OF ECOLAB Specification Specific gravity @ 25,,,"Cleaning agent PVC floor/Aluminum chequered plates Brand TAdegrees celsius ,0.95 -- 1.07 g/cubic pH 1 percent sol 8.0 -- 9.5 "
,,,,,,,,Water repellent colour tape size 4 inches width X 20 meter length bonding adhesive fibre glass RE-Enforcement mechanical strength 30 Kg/inch equivalent P 229N OF PRS PERMACEL HBT STANVAC 
,,,,,,,,HARD WOOD PACKING SIZE 2 FEET X 1 FEET X 12 INCHES RELEASED BOTH THE END BONDED WITH 25 MM WIDTH X 1.5 MM THICKNESS M.S STRIP LEAVING 3 INCHES BOTH THE ENDS IS NO 707/2011 MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,,,HARD WOOD PACKING SIZE 2 FEET X 1 FEET X 4 INCHES RELEASED BOTH THE END BONDED WITH 25 MM WIDTH X 1.5 MM THICKNESS M.S STRIP LEAVING 3 INCHES BOTH THE ENDS IS NO 707/2011 MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,QTY.PER set annexure attached ,,SET OF FLOATING SHAFT TO SUIT SURFACE TRAVERSOR MODEL B-066 MAKE M/S UNIQUE INDUSTRIAL HANDLERS PVT LTD DETAILED DESCRIPTION AND 
,,,,,,,Rev 00 ,Supply Improvised Opening Closing Mechanism Clutch wire type ID-DRDO Bio Digester MDTS 41493 Note Offers RCF Approved sources considered 
,,,,,,,,SET OF TOOLS FOR AIR BRAKE TESTING OF MAKE TAPARIA/EVEREST/ADDISON/BRITOOL WITH EASY TO CARRY TOOL BOX ITEMS CONSISTS IN THE SET OF TOOLS IS ENCLOSED 
DRG NO WD-05086-,ALT.NO.08 ,,ITEM NO.2 ,,,,,MAIN PULL ROD SHORT FOR BOXNHL WAGON TO RDSO S -- 19 
,,,,,,,,POWDER COATING OF SLR PANEL BOARDS ON BOTH SIDES OF SIZE 48 X 18 AND PASTING OF RETRO REFLECTIVE LETTERS AND ECHO SOLVENT PRINT IMAGES ON BOTH ENDS OF SLR PANEL BOARDS AS PER SPECIFICATION ENCLOSED NOTE 1 SLR PANEL BOARDS WILL BE SUPPLIED BY CONSIGNEE 2 CLEANING OF RED OXIDE PAINT ON SLR PANEL BOARDS 3 TRANSPORTATION CHARGES INCLUSIVE 4.COLOR MATTER AND IMAGES AS GIVEN BY CONSIGNEE 5 SAMPLE TO BE APPROVED BEFORE BULK SUPPLY 
,Alt P 2 ,,item no.1 ,,,,,Locking plate pad locking body side doors drawing no.ICF No.T -5-1-103 
,,,,,SKI RI super DIVERSEY SIGLA NEUTRAL OF ECOLAB Specification Specific gravity @ 25,,,"Cleaning agent toilets Brand TAdegrees celsius ,0.95 -- 1.08 g/cubic pH 1 percent sol 9.5 -- 11.0 "
DRG NO RDSO SK-K-3008 ,,,,,,,,BUFFER SPRING PARTING PLATE GALVANIZED TO RDSO 
DRG.NO 081-07-231-086 ,,,,,,,,MAGNET VALVE SUITABLE FOR PARKING BRAKE OF EMU COACHES OF ROTEX MODEL NO.3325 OR SIMILAR 
Drg No WD- 91071-,ALT.9 ,,,,,,,Forged Door Hinge per RDSO S-66 ITEM 9 BOBR wagon 
,,,,,,,,GI NIPPLE OF SIZE 25MM X 150 MM TO IS 1239/92/ PART -II 
Drg.No W/BD 2252 ,ALT4 ,,,,,,,Side buffer Recoil spring BG IRS 
Drg.No.ICF/SK 5 5 039 ,,,,,,,,Window glass toughened toughened safety glass 
,,,,,,,,TURNING CASSETTE LH 30 MM MAKE WIDIA 6939318610 OR SANDVIK PART NO 175- 32-3223-30 
,,,,,,,,SET OF TOOLS FOR AIR BRAKE TESTING OF MAKE TAPARIA/EVEREST/ADDISON/BRITOOL WITH EASY TO CARRY TOOL BOX ITEMS CONSISTS IN THE SET OF TOOLS IS ENCLOSED 
Drg No.WD -92081 -- ,Alt.10 ,,,,,,,Bush Bronze per RDSO S -- 57 Item 5 BOBRN wagon 
DRG NO LOAD SENSING DEVICE III 3,,,ITEM NO 3 2 ,,,,,OVERHAULING KIT OF 5 ITEMS NOS ITEM NO 05-01 NO ITEM NO 7-01 NO ITEM NO 9-3 NO ITEM NO 12-01 NO FOR ESCORTS EB 6280 FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,,,,,,,,GI Reducing socket 40MM X 25 MM TO 1879/2010 
,,,,,,,,HARD WOOD PACKING SIZE 3 FEET X 1 FEET X 12 INCHES RELEASED BOTH THE END BONDED WITH 25 MM WIDTH X 1.5 MM THICKNESS M.S STRIP LEAVING 3 INCHES BOTH THE ENDS IS NO 707/2011 MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,,,,,,,,HARD WOOD PACKING SIZE 6 FEET X 1 FEET X 12 INCHES RELEASED BOTH THE END BONDED WITH 25 MM WIDTH X 1.5 MM THICKNESS M.S STRIP LEAVING 3 INCHES BOTH THE ENDS IS NO 707/2011 MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
