DRG,DRAWING_ATTACHED,SPECN,ITEM_NO,AMD_NO,SK_NO,ALT,REV,REST_SPECIFICATION,QUANTITY,REST
,No,,,,,,Rev.03 ,PART .150001 SPECIFICATION 9906 ,,SPEED SENSING DEVICE SIMILAR TO ICF AS PER RDSO FLOW OR SIMILAR 
Drg No.SC/Chg/ Misc./01/2015 ,No,,,,,,rev.00 ,per .14 ,,Vinyle stickers pasted acrylic sheet Transparent coaches 
DRG NO.ICF/STD-6-4-004 ,No,,,,,Alt g/5 ,,,,FRP LITTER BIN BELOW OUTSIDE WASH BASIN TO 
Drg No.SC/Chg Misc./01/2015 ,No,,,,,,rev.00 ,per .9 ,,Vinyle stickers pasted Acrylic sheet Transparent coaches 
,No,,,,,,,channel 45 x 45 [ 2 ,,PVC slot grey 45 length make Modi Cone Rdiant Accord 
,No,,,,,,,No 3879488 Consists 1 Filter 1 ,,Kit Super By Pass Element Ring Cummins Part One Kit No Filter 1 No Ring Make Authorised Dealer RDSO Approved sources quote 
,No,,,,,,,No 1037450 ,,Wing Pocket Guard Arm Gauge Dellner Coupler Part 
DRG NO.SK-611 ,No,,,AMENDMENT NO.1 ,,,REV-2 ,RDSO 009 ,,KNUCKLE FOR COUPLER HEAD TO ESCORTS CONFIRMING TO 
,No,,,,,,,No 1030604 ,,Rotation Lock Lift Assembly Dellner Coupler Part 
,No,,,,,,,No 1005955 ,,Device Dellner Coupler Part 
,No,,,,,,,No 1030475 ,,Knuckle Thrower Dellne Coupler Part 
,No,,,,,,,No 1037499 ,,Contour Gauge Dellner Coupler Part 
Drg No M1005986 ,No,,,,,,,,,Opening Machanism Ball Retention tank Opening Machanism Ball Valve Bio-Toilet Retention tank RCF Performance BIO TOILET SPARES enclosed firms along offers otherwise offer passed Past Acceptabnce material Preferred 
Drg.No ICF/STD-6-3-107 ,No,,,,,Alt-Nil ,,ICF 1 ,,Stainless Steel Towel Ring 
Drg.No 1901352 ,No,,,,,,,RCF 01 specification 66 No 8107 sources 66 ,,Stop Plate material per RDSO Specification Note To procured RDSO Approved brake gear bushes 
,No,,,,,,,Descrption 1 Drum 250 suitable 15 Nos 2 Drum 200 suitable 7.5 Qty/Kit 04 ,Qty/Kit 04 ,Set Brake Cast Iron EOT Detailed Brake Drum dia Ton EOT Cranes Brake Drum dia suitable Ton EOT Cranes Nos Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclosed relevant technical leaflet 
Drg.No.CG-11088 ,No,,,,,Alt-Nil ,,,,Bracket Safety Rope 
,No,,,,,,,No 3 No 47492 No 1 ,,Stabilizing Valve Escorts Part suitable Escorts Make Electro Pneumatic Brake Valve 
Drg No.CC 56408 ,No,,,,,Alt-d ,,Item 2 Glass 8 x 420 x 900 CC 56408 Item 2 ,,Compartmnt Door RCF Detailed Description Glass x Compartment Door grill AC sleeper coaches RCF Drg No Item 2 
,No,,,,,,,Descrption 1 Drum 250 suitable 15 Nos 2 Drum 200 suitable 7.5 Qty/Kit 04 ,Qty/Kit 04 ,Set Brake Cast Iron EOT Detailed Brake Drum dia Ton EOT Cranes Brake Drum dia suitable Ton EOT Cranes Nos Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclosed relevant technical leaflet 
,No,,,,,,,size 17 x 4 ,Qty-10 ,Nitrile Rubber O Ring Acceptance O ring subject Lab Test LGD Nitrile Rubber Nos supplied material 
,No,,,,,,,Kit 3238493 consists 1 Filter 1 ,,Fuel Ring Part No Kit One Kit No Filter 1 No Ring Make Cummins Authorized dealers RDSO Approved Sources quote 
,No,,,,,,,No 1004159 ,,Washer Dellner Coupler Part 
,No,,,,,,,No 1006203 ,,Stop Cleat Deller Coupler Part 
,No,,,,,,,No 1020214 ,,Support Beam Dellner Coupler Part 
,No,,,,,,,No 1004295 ,,Nut Dellner Coupler Part 
,No,,,,,,,No 1020222 ,,Slide Pad Dellner Coupler Part 
,No,,,,,,,No 1030962 ,,Lock Dellner Coupler Part 
,No,,,,,,,No 1030606 ,,Support Pin Dellner Coupler Part 
,No,,,,,,,No 1036673 ,,Key Dellner Coupler Part 
,No,,,,,,,No 1011452 ,,Support Device Dellner Coupler Part 
,No,,,,,,,N-L 4 A4 13 x 19.5 x 2.2 EN 1.4404 AISI 316 N-L 4 A4 10.3 x 16 x 2.2 EN 1.4404 AISI 316 Qty 08 Plated 17 x 30.7 x 3.2 EN 1.7182 Qty 48 ,Qty 08 ,Nord Lock DELLNER COUPLER Oems authorised dealer supply Full descrption Washer x Stainless Steel Pairs b Washer N-L A4 x x 2.2 Stainless Steel EN 1.4404 AISI 316L Pairs c Washer N-L Zinc x x EN Qty Pairs 
,No,,,,,,,No 1020218 ,,Support Dellner Coupler Part 
,No,,,,,,,range 1950 -1950 2300 2300 2850 2850 3200 Accurancy 1.00 ,,TRAMMELING GAUGE Measuring Suitable CASNUB BOGIES With calibration certificate valid one year date laboratories 
,No,,,,,,,digital 3 IR 2002 speed 20 Memory 128 Capacity 1 x 250 250 100 Zooming 25 percent 400 ,,Canon photo copier model CANON RAM Paper sheets pass trey percent Display Five Line Display 
DRG.NO SAB A4 7270627 ,No,,,,,,,THICKNESS 03 IS 8500 ,,SHIM OF MM WITH STANDARD SHEET AS PER SUITABLE FOR CBC 
,No,,,,,,,hose 1 hose 2 x 760 fittings 3 fittings 4 swivel 1 no.SAE 100 no.SAE 5 ,,Wire brided rubber long end BSP female nut sides suitable adopters Make Poly hose super seal parker 
,No,,,,SKI R7 ,,,@ 25 C 0.95 0.95 1.07 1.07 3 value 1 sol 7 sol 8 ,,Cleaning Agent berth rexene Brand TAjohnson Diversy collin OC neutral cleaner ECO lab specification degree PH percent 
DRG.NO..SC/DIV/C W/IND/01 02 ,Yes,,,,,,,OF 0.8 ,,INDICATION FRAME AS PER MADE THICK DULY POWDER COATED ON MS SHEET INSIDE OUTSIDE AS PER DRAWING 
,No,,,,,,,,,TISSUE PAPER HOLDER FOR WESTERN TOILET ONLY MATERIAL PVC ONLY 
,No,,,,,,,size 24 x 36 36inch 40 ,,Polythene Garbage cover microns thickness Specification per CPCB AND APPCB Guide lines 
,No,,,,,,,Later 7 7 1 7 2 IS 13422 thickness 0.10 ,,Disposable hand gloves MAKE Nulife similar 
,No,,,,,,,No 298688 Model 1036 Model 108 ,,Top Liner Part suitable Coil Spring Shot Blasting Machine Make NESCO 
Drg No SCR/LGD/J T Drg No A3-3487 ,No,,,,,Alt-Nil ,,,,Window Guide moulding Latch LGD 
,No,,,,,,,No 298688 Model 1036 Model 108 ,,Top Liner Part suitable Coil Spring Shot Blasting Machine Make NESCO 
,No,,,,,,,size 60 X 81 thickness 40 f 15 ,,Polythene garbage cover specification per CPCB AP PCB bundle roll consist bags 
,No,,,,,,,consisting 5 IS 1862 IS 1975 affirmed 2006 herein 1 stud 8 x 100 x 1.5 Set 2 Stud 6 x 65 x 1.0 Qty 01 . 3 Stud 5 Stud 16 x 1 1 1 1 4 x 18 Qty 01 . 4 stud 3 stud 8 x 1 x 2 x 16 Qty 01 . 5 Thread 8.8 Qty 01 ,Qty 01 ,Studs required Electropneumatic Brake system items confirming Re per deatiles Galvanized x pitch nut washer Set Galvanized x x pitch nut washer Set Galvanized Stud x 1 x TPI nut washer Qty 01 Set . Galvanized stud x x TPI pitch nut washer Qty 01 Set . 5 Galvanized Hex Bolt nut washer Half . Qty 01 
Drg.No 04702555 ,No,,,,SK-10-2-420 ,,Rev No 2 ,ICF/ 1 ICF/ 2 No 3 3KB 591 Drg.No 83288 Drg.No 1 Drg.No 152968 ,,Soft Seated check valve Straight type Escorts Part FTIL Drg.No per ICF Spec No 
,No,,,,,,,No 130 No 002 consisting 9 ,,Repair Kit drain valve FTIL Part items per annexure attached 
Drg.No ICF/MRVC/M-6-2-002 ,No,,,,,Alt- g ,,,,Luggage Rack Complete 
Drg WCB-6-4-122 ,No,,,,,alt-x ,,Board 1.2 x 457 x 1055 ICF 15 ,,Sink Drain x Pantry cars 
Drg.No CWM/M/JU/SK 1174,No,,,,,,,,,S Trap assembly per a 
Drg No J T/A4/,No,,,,SK No 3670 ,,,material 304 ,,Rear Cover Assembly Table Wheel Duly buffed Polished 
,No,,,,SK No 3669 ,,,J 4 Material 304 ,,Wheel Press Inspection Stand Wheel Shop To rg No Dult buffed Polished 
,No,,,,SKI R7 ,,,@ 25 C 0.95 0.95 1.07 1.07 3 value 1 sol 7 sol 8 ,,Cleaning Agent berth rexene Brand TAjohnson Diversy collin OC neutral cleaner ECO lab specification degree PH percent 
,No,,,,,,,size 24 x 36 36inch 40 ,,Polythene Garbage cover microns thickness Specification per CPCB AND APPCB Guide lines 
Drg.No C W. LGD.SK.NO 0922 ,No,,,,,Alt Nil ,,Ring 13 Thick 20 No 9703 LGD 1 ,,Packing Axle Bogies confirming RDSO Spec 
,No,,,,,,,No 206 No 206 No 620002000 No 08210622 ,,Common pipe bracket assembly complete along CR Escorts part KBI Part No FTIL Part No SIL Part No suitable mounting DV INSPECTION BY RDSO 
Drg.No LW 61230 ,No,,,,,Alt.d ,,,,Safety Rail RCF 
Drg No CG-K4026 ,No,Specn 2062 ,,,,Alt.1 ,Rev-02 ,Reservoir 150 ,,Auxilary Air Liters Capacity main line ICF Coaches RDSO material IS 
,No,,,,SK-10-2-420 ,Alt 02 ,Rev No.2 ,ICF/ 1 ICF/ 2 No 3 3KB 1089 IB 70372 IB 2 ,,inch Isolating Cock vent special Escorts part M/s WSF Part No similar per ICF Specification No 
,No,,,,SK 5-5-018 ,Alt-q/2 ,,"items 3 items 4 3,4 13 No 177 IS 5 IS 2007 No 692 IS 5 IS 2007 ",,Lavatory Window type FRP Banjo except colour Glass shutter frame shall Satin blue shade Colour Window guide sill cross member shall smoke grey Shade No IS 5-2007 
,No,,,,,,,Specifications 1 transport 4 No.s 10 No.s 100 interface 45 RJ-45 2 cable 3 Multirate 144 Kbps 11.4 Mbps 4 capabilities 5 5 10 5 000 tables 6 aging 7 Supports 5 ,,Lan extender SHDSL type LAN WAN port SHDSL multirate modem Ethernet High speed HDSL transport single twisted copper pair telephone HDSL WAN 4 Bridging routing address LAN Automatic LAN table learning 5 KMS 
,No,,,,,,,JACKS 35 SPECIFICATIONS 1 CAPACITY 35 TON 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 210 SIZE 220 X 200 200 210 MM 5 DIA 75 MM 80 EN 9 TO 50 MICRONS 6 DIA 140 DIA 150 EN- 19 BE 8 H8 7 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,,BOTTLE LIFTING 35 TON CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER 2 JACKS SHALL BE MAKES ONLY 
,No,,,,,,,JACKS 15 SPECIFICATIONS 1 CAPACITY 15 ACTING 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 160 SIZE 180 X 160 160 180 MM 5 DIA 55 MM 65 EN 9 TO 50 MICRONS 6 DIA 100 DIA 120 EN- 19 BE 8 H8 7 BE 600 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,,HYDRAULIC TON LIFTING 15 T DOUBLE CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY HAND ALL OTHER PARAMETERS ARE AS PER 2 JACKS SHALL BE MAKES ONLY 
DRG.No.3,No,,,,,,,KB 1944 ,,SINGLE WAGON TEST RIG AS PER AND OTHER SPECIFICATION ATTACHED 
,No,,,,,,,specifications 1 truck 2 put 12 capacity 0 0 50 DC 2 batteries 12 voltage 230 voltage 250 phase 50 Hzs 5 5 10 duty 3 3.ammeter 0 3.ammeter 50 meter 0 meter 250 0-250v 4 marked 5 ,,Battery charger The charger suitable charging provided fork lister Charging A DC batteries volts input voltage single 50 A heavy volt ammeter volt meters shall DC ISI 
DRG No.3,No,,,,,,,KB 1944 ,,SINGLE WAGON TEST AS PER AND OTHER SPECIFICATION ATTACHED 
,Yes,,"item no.1,2,3 4 ",,SK.No.1210.,,,,,Hydrants securing arrangement watering coaches per OF DRAWING enclosed 
,No,,,,,,,installation 24 layer 2 switch 02 ports 10 ports 100 ports 1000 ,,Supply Port fast ethernet manageable Gigabit ethernet combo Mbps two suitable SFP slots modules support POE 
,No,,,,,,,dia 5 x 40 IS 549 ,,Split Pin supporting device main support pin 
,No,,,,,,,No 2609120356 GBM 10 RE 3601 3601 735 ,,Brush Plate BOSCH Part Model No Make BOSCH Equivalent Item procured authorised dealers tools equipment Note One sample got approved bulk supply 
,No,,,,,,,,,Hose clips Hose Pipe Esab make Make Esab ador fontech equivalent 
,No,,,,,,,consisting 12 ,,Kit Relay items Distributor Valves KE Type per part list Approved sources Distributor valve need quaote Material Inspection RDSO 
Drg No BHEL Drg.No 15801130009,No,,,,,,,Assembly 22 Car 1 P1 22 Fig.Ref.CO22.CS.No.CCS 1263 ,,Cylinder Cap Power Contractor Power dealers quote 
Drg.No SCR/C W/Sketch No 0643 ,No,,,,,,,,,Turn Over Catch single seat back rest cum berth LGD Component powder coated smoke grey shade 
Drg.No ICF/SK-3-6-4-035 ,No,,,,,Alt-Nil ,,,,Litter Bin Below Outside wash 
Drg.No ICF/SK-3-6-4-035 ,No,,,,,Alt-Nil ,,,,Litter Bin Below Outside wash 
,No,,,,,,,BLUE 50 L 50 Note 1 passed 2 ,,Industrial Boiler Suit Buttons Full sleeves Colour NAVY percent 50 percent Make MIDAS ROTECTOR UDYOGI NFC BRIGHT APPAREL Offers mentioning make makes Offers OEM authorised dealers enclosing valid dealership certificate considered 
,Yes,,item No.2 ,,SK-3-5-263 ,,,,,Nylon washer drawing attached 
Drg.NO ICF/SK-3-6-3-137 ,No,,,,,alt-a ,,,,
Drg.No ICF/SK-5-4-274 ,No,,,,,Alt.k Item 2 ,,,,Aluminium inner frame double sealed window AC coaches per 
Drg.No ICF/SK-5-4-274 ,No,,,,,Alt.k Item 2 ,,,,Aluminium inner frame double sealed window AC coaches per 
Drg No ICF/STD-6-3-018 ,No,,,,,,,,,Toilet door rubber stopper per 
Drg.No ICF/STD-3-5-066 ,No,,,,,,,Reservoir 150 Reservoir 150 ,,Stainless Steel Air Ltrs Coaches Stainless Steel Air Reservoir 150 Ltrs For EMU-MMTS Coaches ICF Col-I procured ICF Approved vendors 
DrgNo CC 53105 ,No,,,,,Alt.C ,,,,Holding Frame Sealed Door Window Arrangement RCF 
,No,,,,,,,SIZE 25 VALVE 25 25 1 IS 6912 FLB 2 IS 1367 1367 3 IS 1367 1367 4 IS 2062 2062 5 IS 6912 FLB 6 BS 12086 BS 1 EN:12086-1 7 IS 6912 Gr.FLB 8 BSEN 12086 BSEN 1 12086-1 9 IS 6912 MINIMUM 6 ,,BRASS BALL OF SCREWED FEMALE ENDS LEVER OPERATED HB AND LEADER ONLY SPECIFICATION FOR BRASS BALL VALVE NAME OF THE PART STEM MATERIAL FORGED BRASS SPECIFICATION Gr NAME OF THE PART NUT MATERIAL CARBON STEEL SPECIFICATION IS NAME OF THE PART WASHER MATERIAL CARBON STEEL SPECIFICATION IS 1367 NAME OF THE PART LEVER MATERIAL CARBON STEEL SPECIFICATION IS NAME THE PART BODY IS 6912 Gr FLB NAME OF THE PART GLAND PACKING MATERIAL PTFE SPECIFICATION NAME OF THE PART BALL MATERIAL FORGED BRASS SPECIFICATION IS 6912 NAME OF THE PART BODY SEAT RING MATERIAL PTFE SPECIFICATION OF THE PART BONNET MATERIAL FORGED BRASS SPECIFICATION IS WARRANTY 6 MONTHS 
,No,,,,,,,MOP 50 PART .559260002 ,,WET DRY MANUAL AND ADJUSTABLE TELESCOPIC POLE HANDLE ALUMINIUM POWDER COATED WITH BLENDED SYNTHETIC AND COTTON YARN INSET MAKE ROOTS EZEE CLEAN SIMILAR AS PER SPECIFICATION ATTACHED 
,No,,,,,,,No 84072 No 4616 ,,Connection Block Rod Side complete With Quick Coupler Ref 
Drg.No.T-0-7-603 ,No,,,,,Alt-A/15 ,,Link 1 ,,Anchor 
,No,,,,,,,OF 50 BRAND 7 ,,SUPPLY INSTALLATION COMMISSIONING RO PLANT OF LPH SIMILAR TO ROPURE STAGE PURIFICATION RO WITH UV SYSTEMS IN SS SKID SPECIFICATION ATTACHED 
DRG NO LOAD SENSING DEVICE III 3,Yes,,ITEM NO 3 2 ,,,,,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,Yes,,,,SK- 001 ,,,,,Pad lock one time lock made hard plastic moulded rectangular CUBOID internal permanent locking arrangement steel rod per drawing 
DRG NO LOAD SENSING DEVICE III 3,Yes,,ITEM NO 3 2 ,,,,,OF 5 NO 05 NO 01 NO 7 NO 01 NO 9 NO 3 NO 12 NO 01 EB 6280 ,,OVERHAULING KIT ITEMS NOS ITEM NO ITEM NO NO ITEM NO NO ITEM NO NO FOR ESCORTS FOR LOAD SENSING DEVICE AS PER DRAWING ENCLOSED 
,No,,,,,,,required 200 IS 2373 IS 1981 2373/1981 1 required 2 required 3 type 4 Required 5 required 6 required 7 ,,cast Iron strainer T Type flanged ends Kranthi make similar As per Vane wheel water meter Provision locking required Cyclometer type combination pointer counter type Frost protection Strainer required Wiper required Dry dial type water meter required 
Drg.No 14391441002,No,,,,,,,Shield 4601 BHEL 00 ,,Axle per suitable DEMU car dealers quote 
Drg.No 2580130024,No,,,,,,,assembly 22 BHEL 01 ,,Shunt Clamp per suitable power Car dealers quote 
Drg.no 34391741001,No,,,,,,,TM 4601 BHEL 1 ,,Inspection cover per use DEMU Car dealers quote 
Drg No CDO/HYB/PANTRY/001/2015 ,No,,,,,,,L 610 W 610 H 191 thickness 0.6 ,,Fabricated GI box size x X Material GI per 
,No,,,,,,,fire 3.7 fire 2200 standard 18650 ,,Rechargeable batteries LED LAMPS Specifications National Ultra 
Drg SKEL-3943 ,No,,Item No 1 ,,,Alternator per RDSO ,Rev.1 2012 ,size 75 x 12 Specification 1089 Specification 73 SL 42 Suspending 25 ,,GI Split cotton Pin per IS suitable use Suspension Hanger Pin KW Brushless 
,No,,,,,,,No 300 ,,Carbon LUCAS-TVS Carbon Brushes alternator use Godraj FLT Model LUCAS-TVS 
,No,,,,,,,wheel 200 wheel 52 Specifications 1 Wheel 200 x 50 width 2 Load 205 kgs 3 Ovrall 232 height:232 4 size 130 size 105 130x105 5 center 105 center 80 105x80 6 dia 11 dia 13.5 11x13.5 7 Weight 4 kgs 5 Approx 8 ,,Pressed steel swivel castor solid cushioned tyred wheel plate Bolt Hole hole dia kgs 5 kgs Double Ball race Swivel Protected dust guard fitted solid cushion tyred wheels roller bearings 
,No,,,,,,,MODEL 353 MODEL 452 ,,DEVELOPER FOR PHOTO COPY MACHINE MAKE TOSHIBA 
,No,,,,,,,Range 0 0 16 0 2 Dia 100 Fitting 3 Fitting 8 Qty/Set 6 Nos 2 Range 0 0 16 16 2 Dia 150 Fitting 1 Fitting 2 Qty/Set 6 ,Qty per set 1 ,Pressure Gauge Set Pneumatic Pressure Gagues Detailed Description Pneumatic Pressure Guge Dial End BSP Connecton Bottom Material Stainless Steel Calibration Certificate enclosed along supplied material Make Certificate enclosed pressure Pneumatic Pressure Gauge Range 0 Dial Dia End Fitting BSP Connection Bottom Material Stainless Steel Calibration Certificate enclosed alongwith supplied material Make Note Calibration Certificate enclosed pressure Qty/Set 6 Nos Make WIKA/H.GURU/WARREE 
,No,,,,,,,CARTRIDGE 200 THAN 2600 SP 200 ,,BLACK HIGH YIELD RATING NOT LESS PAGES SUITABLE TO WORK ON RICOH LASER PRINTER 
,No,,,,,,,Descrption 1 Drum 250 suitable 15 Nos 2 Drum 200 suitable 7.5 Qty/Kit 04 ,Qty/Kit 04 ,Set Brake Cast Iron EOT Detailed Brake Drum dia Ton EOT Cranes Brake Drum dia suitable Ton EOT Cranes Nos Note OEMS authorized dealer quote along authorization certificate Firms mention item shall enclose relevant technical leaflet 
Drg MI005986 ,No,,,,,,,,,Opening Mechanism Ball vale Bio toilet retention tank To Opening Mechanism Ball vale Bio toilet retention tank To RCF sources approved RCF considered 
,No,specn.No.IRS.S.96/2000 ,,,,,,Converter 24 input 18 input 36 put 1 ,,
DRG NO T. 0 1- 644 ,No,,,,,,,PLATE 4 X 110 X 196 ,,STEEL PACKING X ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
DRG NO T. 0 1- 644 ,No,,,,,,,PLATE 4 X 110 X 196 ,,STEEL PACKING X ON BOGIE FRAME FOR CROWN CLEARANCE AS PER IRS FOR USE ON COACHING STOCK 
,No,,,,,,,Later 7 7 1 7 2 IS 13422 thickness 0.10 ,,Disposable hand gloves MAKE Nulife similar 
,No,,,,,,,,,Hand Held Wireless micro phone System Specification Attached 
,No,,,,SK 722 ,,,,,Compression Spring Escort Part No Make ESCORTS Only 
,No,,,,SK 711 ,,,,,Wear Plate Escorts Part No Make Escorts 
Drg No C W-99 ,No,,,,,,,,,Back Rest cum berth holding bracket CN Coaches per 
,Yes,,,,,,,steel.size 5 x 4 feet 3 No 2015 SCDN/MECH/2015/RR/RACK 1 ,,Storage unit feet shelves per drawing DRAWING ATTACHED 
Drg.No ICF/SK-5-4-274 ,No,,,,,Altg.k Item 2 ,,,,Aluminium inner frame double sealed window AC coaches per 
,Yes,,,,,,,No 005328 MI005328 2 No 005328 MI005328 2 ,,Chlorine Jacket Chloring RCF Drawing Chlorine Jacket Chloring filter Bio-Toilet RCF Drawing No MI005328 Item-2 Note Offers RCF Approved sources considered 
,No,,,,,,,size 30 X 30 inches 40 ,,Black poly bags 30 inches microns thickness use DUST BINS 
Drg.No ICF/SK-5-4-263 ,No,,,,,,,length 20 ,,Rubber Profile Emergency Openable window standard Mtrs 
DrgNo CC 53105 ,No,,,,,Alt.C ,,,,Holding Frame Sealed Door Window Arrangement RCF 
Drg.No 3,No,,,,SK-10-2-421 ,Alt-06 ,Rev No.03 ,ICF/ 1 KB 165 IB 70378 IB 2 70378/2 1 1A 71395 1A 3 ,,Escorts WSF Drg No equivalent confirming ICF 
Drg.No 3,No,,,,SK-10-2-421 ,Alt-06 ,Rev No.03 ,considered 1 KB 165 IB 70378 IB 2 70378/2 1 1A 71395 1A 3 ,,Escorts WSF Drg No equivalent confirming ICF ICF Approved sources 
Drg.No 3,No,,,,SK-10-2-421 ,Alt-06 ,Rev No 03 ,considered 1 KB 165 IB 70378 IB 1 IA 71395 IA 4 ,,Escorts equivalent confirming ICF Offers ICF approved sources 
,No,,,,,,,specifications 1 truck 2 put 12 capacity 0 0 50 DC 2 batteries 12 voltage 230 voltage 250 phase 50 Hzs 5 5 10 duty 3 3.ammeter 0 3.ammeter 50 meter 0 meter 250 0-250v 4 marked 5 ,,Battery charger The charger suitable charging provided fork lister Carging A DC batteries volts input voltage single 50 A heavy volt ammeter volt meters shall DC ISI 
DRG No.3,No,,,,,,,KB 1944 ,,SINGLE WAGON TEST AS PER AND OTHER SPECIFICATION ATTACHED 
,No,,,,,,,JACKS 15 SPECIFICATIONS 1 CAPACITY 15 ACTING 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 160 SIZE 180 X 160 160 180 MM 5 DIA 55 MM 65 EN 9 TO 50 MIRCONS 6 DIA 100 DIA 120 EN- 19 BE 8 H8 7 BE 600 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,,HYDRAULIC TON LIFTING 15 T DOUBLE CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER 2 
,No,,,,,,,,,WELDING MACHINES SPECIFICATION ATTACHED 
,No,,,,,,,JACKS 35 SPECIFICATIONS 1 CAPACITY 35 TON 2 LIFT 125 125 130 MM 3 HEIGHT 250 HEIGHT 260 MM 4 SIZE 210 SIZE 220 X 200 200 210 MM 5 DIA 75 MM 80 EN 9 TO 50 MIRCONS 6 DIA 140 DIA 150 EN- 19 BE 8 H8 7 BE 700 BAR 8 IS 4552 4552 2 2 1993 ,,BOTTLE LIFTING 35 TON CLOSED MM BASE MM MM RAM MM MM SHOULD MAD HIGH GRADE ALLOY STEEL PISTON SURFACE SHOULD BE CHROME PLATED UP BODY DIA SHOULD BE MADE OF HIGH GRADDE ALLOY STEEL CYLINDER FINISHING SHOULD BE PRESSURE SHOULD BE OPERATION BY NHAND ALL OTHER PARAMETERS ARE AS PER 2 
DRG.No.3,No,,,,,,,KB 1944 ,,SINGLE WAGON TEST RIG AS PER AND OTHER SPECIFICATION ATTACHED 
,Yes,,Item No 2 ,,,,,CG-K6070 15 No.RDSO/Sketch 6070 ,,Gravity type spring loaded water tap 
,No,,,,,,,PART .546102000 ,,QUICK RELEASE MECHANISM SUITABLE FOR FAIVELY MAKE PARKING BRAKE ARRANGEMENT TO FTRTIL 
,No,,,,,,,HEAD 4901 ,,HP PRINT CYAN MAGENTA 
,No,,,,,,,RH 30 WIDIA 6939318620 NO 175 NO 32 NO 3223 NO 30 ,,TURNING CASSETTE MM MAKE OR SANDVIK PART 
,No,,,,,,,consisting 06 herein 1 Part .521 Part 70972 Nos 2 No 1 No 852 Qty 04 04Nos 3 No 56 No 72050 No 13 Qty 06 Nos 4 Part .731 Part 71387 No.731A71387 01 Qty:01No 5 Part .861 Part 70975 No.861A70975 01 Qty:01Nos 6 No 88 No 89551 No 1 88A89551/1 01 ,Qty 02,Rubber Kit WSF make modified EP magnet valve unit items detailed Grommet K Ring Part O Ring Valve body adopter bracket Part No Qty 06 Nos Gasket Part Gasket Part Ball Valve seat Part No Qty:01Nos 
,No,,,,,,,SIZE 2 X 1 X 1 WITH 25 X 1.5 LEAVING 3 NO 707 NO 2011 ,,HARD WOOD PACKING FEET FEET X 1 INCHES RELEASED BOTH THE END BONDED MM WIDTH X MM STRIP INCHES BOTH THE ENDS IS MAKE IN WOOD DHURSHANI TAMRINDA SALWOOD 
,Yes,,,,SK.K 3001 ,,,No 1 1.RCF-CC 64334 64334 2 ,,Hammer box Hammer per Drawing RDSO BREAKING WINDOW GLASS IN CASE OF EMERGENCY 
,Yes,,,,,,,steel.size 5 x 4 feet 3 No 2015 SCDN/MECH/2015/RR/RACK 1 ,,Storage unit inches inches shelves per drawing DRAWING ATTACHED 
,No,,,,,,,NO 006 NO 01 Traversor 70 Model 066 ,,Cardon Shaft Part Suitable surface Cap 
